state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
Massachusetts,453249,4725900,0.095907446200724,51,480,0.10625,49.0,0.96078431372549,2.0,0.03921568627451,11.2520932202829,10.0406047673915,2005
Michigan,782823,7347736,0.106539347630345,232,1108,0.209386281588448,225.0,0.969827586206897,7.0,0.030172413793103,29.6363290296785,13.3436650264825,2005
Minnesota,407255,3759713,0.108320768101182,103,547,0.188299817184644,100.0,0.970873786407767,3.0,0.029126213592233,25.2912794195283,13.2440137952511,2005
Mississippi,226398,2070896,0.109323693705526,68,363,0.18732782369146,68.0,1.0,0.0,0.0,30.0356010212104,15.9935115137018,2005
Missouri***,533517,4251339,0.125493873812462,180,727,0.247592847317744,177.0,0.983333333333333,3.0,0.016666666666667,33.7383813449243,14.7129152498425,2005
Montana,100637,704193,0.142911105336179,59,206,0.286407766990291,57.0,0.966101694915254,2.0,0.033898305084746,58.6265488836114,24.3556521681501,2005
Nebraska,154607,1270888,0.121652734151239,18,187,0.096256684491979,,0.0,,0.0,11.6424224000207,15.1395571545158,2005
Nevada,233633,1757343,0.132946726962238,106,480,0.220833333333333,,0.0,,0.0,45.3703029965801,24.5453531183755,2005
New Hampshire,129603,967192,0.133999247305602,37,162,0.228395061728395,37.0,1.0,0.0,0.0,28.5487218660062,14.9237872035091,2005
New Jersey,546437,6358519,0.085937778907321,80,536,0.149253731343284,79.0,0.9875,1.0,0.0125,14.6402970516272,7.84572550765801,2005
New Mexico,177687,1392242,0.127626518952883,80,342,0.233918128654971,77.0,0.9625,3.0,0.0375,45.0229898641994,21.5716867494679,2005
New York,1098272,14119047,0.077786553157589,208,1189,0.174936921783011,203.0,0.975961538461538,5.0,0.024038461538462,18.9388421083302,7.53411375282961,2005
North Carolina,723831,6240503,0.11598920792122,225,1009,0.222993062438057,216.0,0.96,9.0,0.04,31.0846040028681,14.2114666233555,2005
North Dakota**,58479,470198,0.12437100965976,24,92,0.260869565217391,24.0,1.0,0.0,0.0,41.0403734673986,16.5161190034951,2005
Ohio,982418,8390951,0.117080650333913,282,1341,0.210290827740492,278.0,0.985815602836879,4.0,0.014184397163121,28.7046857854803,14.2943279054031,2005
Oklahoma,341464,2572747,0.132723505264995,109,522,0.208812260536398,,0.0,4.0,0.036697247706422,31.9213738490734,18.5095301671729,2005
Oregon,350365,2709927,0.129289460564805,154,560,0.275,149.0,0.967532467532468,5.0,0.032467532467532,43.9541620881081,17.2065832557059,2005
Pennsylvania,1088379,9169767,0.118692110715572,336,1430,0.234965034965035,331.0,0.985119047619048,5.0,0.014880952380952,30.8715989558784,13.5372784972086,2005
Rhode Island,88971,785844,0.113217127063387,15,71,0.211267605633803,,0.0,,0.0,16.8594261051354,8.03589750212736,2005
South Carolina,400152,3077479,0.13002590756915,96,510,0.188235294117647,93.0,0.96875,3.0,0.03125,23.9908834642836,15.4631839891056,2005
